# auth.log  ->  timestamp | status | user | source_ip
# SUCCESS = good login, FAILURE = failed login. Only logs, no real SSH server.
2026-08-17T08:00:03 | SUCCESS | alice | 192.168.1.10
2026-08-17T08:00:31 | SUCCESS | bob | 192.168.1.11
2026-08-17T08:01:01 | FAILURE | root | 203.0.113.77
2026-08-17T08:01:04 | FAILURE | root | 203.0.113.77
2026-08-17T08:01:07 | FAILURE | admin | 203.0.113.77
2026-08-17T08:01:10 | FAILURE | admin | 203.0.113.77
2026-08-17T08:01:13 | FAILURE | test | 203.0.113.77
2026-08-17T08:01:16 | FAILURE | root | 203.0.113.77
2026-08-17T08:01:19 | FAILURE | oracle | 203.0.113.77
2026-08-17T08:01:22 | FAILURE | root | 203.0.113.77
2026-08-17T08:01:25 | FAILURE | admin | 203.0.113.77
2026-08-17T08:01:28 | FAILURE | postgres | 203.0.113.77
2026-08-17T08:01:31 | FAILURE | root | 203.0.113.77
2026-08-17T08:01:34 | FAILURE | ubuntu | 203.0.113.77
2026-08-17T08:01:37 | FAILURE | admin | 203.0.113.77
2026-08-17T08:01:40 | FAILURE | root | 203.0.113.77
2026-08-17T08:01:43 | FAILURE | test | 203.0.113.77
2026-08-17T08:02:10 | SUCCESS | alice | 192.168.1.10
2026-08-17T08:03:00 | FAILURE | admin | 198.51.100.23
2026-08-17T08:03:20 | FAILURE | admin | 198.51.100.23
2026-08-17T08:03:40 | FAILURE | admin | 198.51.100.23
2026-08-17T08:05:00 | SUCCESS | bob | 192.168.1.11
